@relation menu-weka.filters.unsupervised.attribute.Add-NSize-Clast-W1.0-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-NPrice-Clast-W1.0

@attribute Category {Breakfast,'Beef & Pork','Chicken & Fish','Snacks & Sides',Desserts,Beverages,'Coffee & Tea','Smoothies & Shakes'}
@attribute Item string
@attribute Calories numeric
@attribute 'Calories from Fat' numeric
@attribute 'Total Fat (\% Daily Value)' numeric
@attribute 'Saturated Fat (\% Daily Value)' numeric
@attribute 'Trans Fat' numeric
@attribute 'Cholesterol (\% Daily Value)' numeric
@attribute 'Sodium (\% Daily Value)' numeric
@attribute 'Carbohydrates (\% Daily Value)' numeric
@attribute 'Dietary Fiber (\% Daily Value)' numeric
@attribute Sugars numeric
@attribute Protein numeric
@attribute 'Vitamin A (\% Daily Value)' numeric
@attribute 'Vitamin C (\% Daily Value)' numeric
@attribute 'Calcium (\% Daily Value)' numeric
@attribute 'Iron (\% Daily Value)' numeric
@attribute Size numeric
@attribute Price numeric

@data
'Beef & Pork',Hamburger,240,70,12,15,0,10,20,11,6,6,12,2,2,10,15,3.5,3
'Beef & Pork',Cheeseburger,290,100,18,27,0.5,15,28,11,7,7,15,6,2,20,15,4,3.5
'Beef & Pork','Double Cheeseburger',430,190,32,52,1,30,43,12,8,7,24,10,2,30,20,5.7,5.2
'Beef & Pork','Bacon Clubhouse Burger',720,360,62,75,1.5,38,61,17,14,14,39,8,25,30,25,9.5,9
'Beef & Pork',McDouble,380,150,26,40,1,25,35,11,7,7,22,6,2,20,20,5.2,4.7
'Beef & Pork','Bacon McDouble',440,200,34,49,1,30,46,12,7,7,27,6,10,20,20,5.7,5.2
'Beef & Pork','Daily Double',430,200,35,44,1,27,32,11,8,7,22,8,8,20,20,6.7,6.2
'Beef & Pork','Jalapeno Double',430,210,36,44,1,27,43,12,7,6,22,6,8,20,20,5.6,5.1
'Beef & Pork',McRib,500,240,40,48,0,23,41,15,10,11,22,2,2,15,20,7.3,6.8
'Chicken & Fish','Premium Crispy Chicken Classic Sandwich',510,200,33,18,0,16,41,18,13,10,24,4,6,15,20,7.5,6.3
'Chicken & Fish','Premium Grilled Chicken Classic Sandwich',350,80,13,9,0,22,34,14,13,8,28,4,8,15,20,7,5.8
'Chicken & Fish','Premium Crispy Chicken Club Sandwich',670,300,51,44,0,29,59,19,14,11,36,8,20,30,20,8.8,7.3
'Chicken & Fish','Premium Grilled Chicken Club Sandwich',510,180,31,36,0,35,52,15,13,9,40,8,20,30,20,8.3,6.9
