@relation menu-weka.filters.unsupervised.attribute.Add-NSize-Clast-W1.0-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-NPrice-Clast-W1.0

@attribute Category {Breakfast,'Beef & Pork','Chicken & Fish','Snacks & Sides',Desserts,Beverages,'Coffee & Tea','Smoothies & Shakes'}
@attribute Item string
@attribute Calories numeric
@attribute 'Calories from Fat' numeric
@attribute 'Total Fat (\% Daily Value)' numeric
@attribute 'Saturated Fat (\% Daily Value)' numeric
@attribute 'Trans Fat' numeric
@attribute 'Cholesterol (\% Daily Value)' numeric
@attribute 'Sodium (\% Daily Value)' numeric
@attribute 'Carbohydrates (\% Daily Value)' numeric
@attribute 'Dietary Fiber (\% Daily Value)' numeric
@attribute Sugars numeric
@attribute Protein numeric
@attribute 'Vitamin A (\% Daily Value)' numeric
@attribute 'Vitamin C (\% Daily Value)' numeric
@attribute 'Calcium (\% Daily Value)' numeric
@attribute 'Iron (\% Daily Value)' numeric
@attribute Size numeric
@attribute Price numeric

@data
'Coffee & Tea','Hot Chocolate with Nonfat Milk (Small)',280,30,5,11,0,5,7,17,3,46,12,15,0,40,6,12,2
'Coffee & Tea','Hot Chocolate with Nonfat Milk (Medium)',340,30,5,11,0,6,9,20,4,57,14,20,0,50,6,16,2.5
'Coffee & Tea','Hot Chocolate with Nonfat Milk (Large)',400,35,6,12,0,7,12,25,5,69,19,25,0,60,8,20,3
'Coffee & Tea','Regular Iced Coffee (Small)',140,40,7,15,0,6,1,8,0,22,1,4,0,4,0,16,2.5
'Coffee & Tea','Regular Iced Coffee (Medium)',190,60,11,22,0,9,2,10,0,30,1,4,0,4,0,22,3.3
'Coffee & Tea','Regular Iced Coffee (Large)',270,80,14,29,0,12,3,16,0,45,2,6,0,8,0,32,4.5
'Coffee & Tea','Caramel Iced Coffee (Small)',130,40,7,15,0,6,2,7,0,21,1,4,0,4,0,16,2.5
'Coffee & Tea','Caramel Iced Coffee (Medium)',180,60,11,22,0,9,2,10,0,28,1,4,0,4,0,22,3.3
'Coffee & Tea','Caramel Iced Coffee (Large)',260,80,14,29,0,12,3,14,0,42,2,6,0,6,0,32,4.5
'Coffee & Tea','Hazelnut Iced Coffee (Small)',130,40,7,15,0,6,1,7,0,20,1,4,0,4,0,16,2.5
'Coffee & Tea','Hazelnut Iced Coffee (Medium)',180,60,11,22,0,9,2,10,0,28,1,4,0,4,0,22,3.3
'Coffee & Tea','Hazelnut Iced Coffee (Large)',250,80,14,29,0,12,3,14,0,41,2,6,0,8,0,32,4.5
'Coffee & Tea','French Vanilla Iced Coffee (Small)',120,40,7,15,0,6,2,7,0,19,1,4,0,4,0,16,2.5
'Coffee & Tea','French Vanilla Iced Coffee (Medium)',170,60,11,22,0,9,2,9,0,26,1,4,0,4,0,22,3.3
'Coffee & Tea','French Vanilla Iced Coffee (Large)',240,80,14,29,0,12,3,14,0,39,2,6,0,8,0,32,4.5
'Coffee & Tea','Iced Coffee with Sugar Free French Vanilla Syrup (Small)',80,40,7,15,0,6,3,3,0,1,1,4,0,4,0,16,2.5
'Coffee & Tea','Iced Coffee with Sugar Free French Vanilla Syrup (Medium)',120,60,11,22,0,9,4,4,0,2,1,4,0,4,0,22,3.3
'Coffee & Tea','Iced Coffee with Sugar Free French Vanilla Syrup (Large)',160,80,14,29,0,12,6,6,0,2,2,6,0,8,0,32,4.5
'Coffee & Tea','Iced Mocha (Small)',290,100,17,33,0,12,5,14,4,34,8,10,0,25,4,12,2
'Coffee & Tea','Iced Mocha (Medium)',350,110,19,38,0,13,6,17,5,43,9,10,0,30,6,16,2.5
'Coffee & Tea','Iced Mocha (Large)',480,150,25,49,0.5,17,9,23,8,62,14,15,0,40,8,22,3.3
'Coffee & Tea','Iced Mocha with Nonfat Milk (Small)',240,45,8,16,0,7,5,14,4,35,8,10,0,25,4,12,2
'Coffee & Tea','Iced Mocha with Nonfat Milk (Medium)',290,45,8,17,0,7,6,17,5,43,10,15,0,30,6,16,2.5
'Coffee & Tea','Iced Mocha with Nonfat Milk (Large)',390,50,9,18,0,8,9,24,8,62,14,20,0,45,8,22,3.3
'Coffee & Tea','Iced Caramel Mocha (Small)',280,100,17,33,0,12,6,13,0,33,8,10,0,25,2,12,2
'Coffee & Tea','Iced Caramel Mocha (Medium)',340,110,19,37,0,13,7,15,2,41,9,10,0,30,2,16,2.5
'Coffee & Tea','Iced Caramel Mocha (Large)',460,150,25,48,0.5,17,10,22,3,59,13,15,0,40,4,22,3.3
'Coffee & Tea','Iced Nonfat Caramel Mocha (Small)',230,45,8,16,0,7,6,13,0,33,8,10,0,25,2,12,2
'Coffee & Tea','Iced Nonfat Caramel Mocha (Medium)',270,45,8,16,0,7,7,16,2,41,10,15,0,30,2,16,2.5
'Coffee & Tea','Iced Nonfat Caramel Mocha (Large)',370,50,8,17,0,8,10,22,3,59,14,20,0,45,4,22,3.3
'Coffee & Tea','Frappe Mocha (Small)',450,160,28,59,1,21,5,22,3,57,7,15,0,20,4,12,2
'Coffee & Tea','Frappe Mocha (Medium)',550,200,34,71,1,25,7,27,4,71,9,15,0,25,4,16,2.5
'Coffee & Tea','Frappe Mocha (Large)',670,240,41,85,1,30,8,33,4,88,11,20,0,35,4,22,3.3
'Coffee & Tea','Frappe Caramel (Small)',450,170,29,60,1,22,5,21,0,57,7,15,0,25,2,12,2
'Coffee & Tea','Frappe Caramel (Medium)',550,200,35,73,1,27,7,26,0,71,9,20,0,30,2,16,2.5
'Coffee & Tea','Frappe Caramel (Large)',670,250,42,87,1.5,32,8,32,0,88,11,20,0,35,2,22,3.3
'Coffee & Tea','Frappe Chocolate Chip (Small)',530,200,35,72,1,22,6,25,5,67,8,15,0,25,4,12,2
'Coffee & Tea','Frappe Chocolate Chip (Medium)',630,240,41,85,1,26,7,30,5,81,9,15,0,30,4,16,2.5
'Coffee & Tea','Frappe Chocolate Chip (Large)',760,280,48,101,1.5,32,8,37,5,99,12,20,0,35,6,22,3.3
'Smoothies & Shakes','Blueberry Pomegranate Smoothie (Small)',220,5,1,0,0,1,2,17,12,44,2,0,2,6,2,12,3.2
'Smoothies & Shakes','Blueberry Pomegranate Smoothie (Medium)',260,5,1,0,0,1,2,21,15,54,3,0,4,8,2,16,4
'Smoothies & Shakes','Blueberry Pomegranate Smoothie (Large)',340,10,2,3,0,2,3,26,19,70,4,0,4,10,2,22,5.2
'Smoothies & Shakes','Strawberry Banana Smoothie (Small)',210,5,1,0,0,1,2,16,10,44,3,0,30,8,2,12,3.2
'Smoothies & Shakes','Strawberry Banana Smoothie (Medium)',250,5,1,0,0,1,2,19,13,54,4,0,35,8,4,16,4
'Smoothies & Shakes','Strawberry Banana Smoothie (Large)',330,10,2,3,0,2,3,25,16,70,5,0,45,10,4,22,5.2
'Smoothies & Shakes','Mango Pineapple Smoothie (Small)',210,5,1,0,0,1,2,17,4,46,2,30,20,8,2,12,3.2
'Smoothies & Shakes','Mango Pineapple Smoothie (Medium)',260,10,1,0,0,1,2,20,5,56,3,40,25,8,2,16,4
'Smoothies & Shakes','Mango Pineapple Smoothie (Large)',340,10,2,3,0,2,3,26,6,72,4,50,30,10,2,22,5.2
'Smoothies & Shakes','Vanilla Shake (Small)',530,140,24,49,1,20,7,29,0,63,11,20,0,40,0,12,3.2
'Smoothies & Shakes','Vanilla Shake (Medium)',660,170,29,61,1,24,9,36,0,81,14,25,0,50,0,16,4
'Smoothies & Shakes','Vanilla Shake (Large)',820,210,35,73,1,29,11,45,0,101,18,30,0,60,0,22,5.2
'Smoothies & Shakes','Strawberry Shake (Small)',550,150,25,52,1,21,7,30,0,79,12,20,0,40,0,12,3.2
'Smoothies & Shakes','Strawberry Shake (Medium)',690,180,30,63,1,25,9,38,0,100,15,25,0,50,0,16,4
'Smoothies & Shakes','Strawberry Shake (Large)',850,210,36,75,1,30,11,47,0,123,18,30,0,70,0,22,5.2
'Smoothies & Shakes','Chocolate Shake (Small)',560,150,25,51,1,20,10,30,5,77,12,20,0,40,8,12,3.2
'Smoothies & Shakes','Chocolate Shake (Medium)',700,180,30,62,1,24,13,38,6,97,15,25,0,50,10,16,4
'Smoothies & Shakes','Chocolate Shake (Large)',850,210,36,74,1,29,16,47,8,120,19,30,0,60,15,22,5.2
'Smoothies & Shakes','Shamrock Shake (Medium)',660,170,29,61,1,24,9,36,0,93,14,25,0,50,0,16,4
'Smoothies & Shakes','Shamrock Shake (Large)',820,210,35,73,1,29,11,45,0,115,18,30,0,60,0,22,5.2
'Smoothies & Shakes','McFlurry with M&Ms Candies (Small)',650,210,35,72,0.5,17,7,32,6,89,13,15,0,45,8,10.9,3
'Smoothies & Shakes','McFlurry with M&Ms Candies (Medium)',930,290,50,102,1,25,11,46,7,128,20,25,0,70,10,16.2,4
'Smoothies & Shakes','McFlurry with M&Ms Candies (Snack)',430,140,24,48,0,11,5,21,4,59,9,10,0,30,4,7.3,2.3
'Smoothies & Shakes','McFlurry with Oreo Cookies (Small)',510,150,26,44,0.5,14,12,27,4,64,12,15,0,40,8,10.1,2.8
'Smoothies & Shakes','McFlurry with Oreo Cookies (Medium)',690,200,35,58,1,19,16,35,5,85,15,20,0,50,10,13.4,3.5
'Smoothies & Shakes','McFlurry with Oreo Cookies (Snack)',340,100,17,29,0,9,8,18,2,43,8,10,0,25,6,6.7,2.1
'Smoothies & Shakes','McFlurry with Reese Peanut Butter Cups (Medium)',810,290,50,76,1,20,17,38,9,103,21,20,0,60,6,14.2,3.6
'Smoothies & Shakes','McFlurry with Reese Peanut Butter Cups (Snack)',410,150,25,38,0,10,8,19,5,51,10,10,0,30,4,7.1,2.2
